DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO;;;;;
44953;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;278001765181;;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202301;t;255;0;FT_COMISSIONAMENTO;;OK;84.9;'';P2;AUDIO_CONEXAO;;;;278001765181;;PREMIUM;;;3;;BL 125M COMBINADO FID;;;;;
44953;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52;0;BONUS TV;;OK;104.9;'';P2;;;;;278001765181;;PREMIUM;;;1;;CLARO TV MAIS BOX;;;;;
44956;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;278001765645;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44949;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P2;AUDIO_CONEXAO;;;;363002593780;;PREMIUM;;;3;;FONE ILIM BR TOTAL - PON 30.00;;;;;
44949;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;363002593780;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 350 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;363002593829;;PREMIUM;;;3;;BL 350M COMBINADO FID;;;;;
44945;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;379001234470;;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX;;;;;
44945;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52;0;BONUS TV;;OK;104.9;'';P2;;;;;379001234470;;PREMIUM;;;1;;CLARO TV MAIS BOX;;;;;
44944;0;BANDA LARGA FIXA;VIRTUA 350 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;379001234993;;PREMIUM;;;3;;BL 350M COMBINADO BWF PON FID;;;;;
44944;0;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI UR;CLRZ;202301;t;37;0;PLUGIN COMBO MULTI UR;;OK;104.9;'';P2;;;;;379001234993;;PREMIUM;;;0;;VIRTUA 350 MB;;;;;
44951;43999628985;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202301;t;17;0;PLUGIN COMBO MULTI;;OK;49.9;'';P2;AUDIO_CONEXAO;;;;379001234993;;PREMIUM;;;0;;PLANO CONTROLE MAIS 13GB COMBO;;;;;
44951;43999628985;ATIVACAO POS-PAGO;PLANO CONTROLE MAIS 13GB COMBO - CF - CM;CLRZ;202301;t;150;0;MOBILE;;OK;49.9;'89550534420011257147';P2;AUDIO_CONEXAO;;;;379001234993;;PREMIUM;;;3;;PLANO CONTROLE MAIS 13GB COMBO;;;;;
44952;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P2;AUDIO_CONEXAO;;;;379001235361;;PREMIUM;;;3;;FONE ILIM BR TOTAL - PON 30.00;;;;;
44952;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;379001235361;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44944;0;TROCA DE PLANO UR;EQUIVALENCIA DE PLANO UR;CLRZ;202301;f;0;95;FT_COMISSIONAMENTO;;SEM DOCUMENTACAO;104.9;'';P2;;;;;531009207819;;PREMIUM;105;0;4;;BL 250M SINGLE OU C/ FONE FID;;;;;
44947;0;TROCA DE PLANO UR;UPGRADE DE PLANO UR;CLRZ;202301;f;0;95;FT_COMISSIONAMENTO;;SEM DOCUMENTACAO;144.9;'';P2;;;;;531010204920;;PREMIUM;105;40;4;;BL 500M SINGLE OU C/ FONE FID;;;;;
44952;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202301;t;255;0;FT_COMISSIONAMENTO;;OK;84.9;'';P2;AUDIO_CONEXAO;;;;570001040562;;PREMIUM;;;3;;BL 125M SINGLE OU C/ FONE BWF PON FID;;;;;
44945;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;749001421558;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44956;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P2;AUDIO_CONEXAO;;;;749001421558;;PREMIUM;;;3;;FONE ILIM BR TOTAL - PON 30.00;;;;;
44947;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;749001421914;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.89;'';P2;AUDIO_CONEXAO;;;;749001422279;;PREMIUM;;;3;;BL 250M SINGLE/FONE AQS BS BWF PON FID;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;749001422287;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44949;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;375;0;FT_COMISSIONAMENTO;;OK;124.9;'';P2;AUDIO_CONEXAO;;;;749001422325;;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;749001422333;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.89;'';P2;AUDIO_CONEXAO;;;;749001423216;;PREMIUM;;;3;;BL 250M SINGLE/FONE AQS BS BWF PON FID;;;;;
44954;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;749001423429;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44957;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;749001423712;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44957;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;749001424069;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44946;0;TV;TOP HD;CLRZ;202301;f;0;75;FT_COMISSIONAMENTO;;PONTO ADICIONAL NAO COMISSIONADO;0;'';P2;;;;;884000727847;;PREMIUM;;;3;;NET TOP HD PA GRATIS;;;;;
44953;0;TV;MIX HD;CLRZ;202301;f;0;75;FT_COMISSIONAMENTO;;PONTO ADICIONAL NAO COMISSIONADO;0;'';P2;;;;;884611090639;;PREMIUM;;;3;;NET MAIS HD CONFORTO FIDELIDADE;;;;;
44956;0;TROCA DE PLANO UR;EQUIVALENCIA DE PLANO UR;CLRZ;202301;t;10;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;884622205136;;PREMIUM;105;0;4;;BL 250M COMBINADO FID;;;;;
44954;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;884623144327;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44943;0;BANDA LARGA FIXA;VIRTUA 150 MB;CLRZ;202301;t;405;0;FT_COMISSIONAMENTO;;OK;135;'';P2;AUDIO_CONEXAO;;;;884623149744;;PREMIUM;;;3;;BL 150M IP FIXO EMP PME FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;884623162414;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44945;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P2;AUDIO_CONEXAO;;;;923001749626;;PREMIUM;;;3;;FONE ILIM BR TOTAL 30.00;;;;;
44945;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;923001749626;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44945;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202301;t;37;0;PLUGIN CIDADES ACELERACAO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;923001749626;;PREMIUM;;;0;;VIRTUA 250 MB;;;;;
44945;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202301;t;11;0;PLUGIN CIDADES ACELERACAO;;OK;30;'';P2;AUDIO_CONEXAO;;;;923001749626;;PREMIUM;;;0;;FALE ILIMITADO BRASIL TOTAL;;;;;
44946;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;996375109482;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 300 MB;CLRZ;202301;t;345;0;FT_COMISSIONAMENTO;;OK;115;'';P2;AUDIO_CONEXAO;;;;996375111070;;PREMIUM;;;3;;BL 300M EMP PME CNPJ FID;;;;;
44951;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;f;0;112;FT_COMISSIONAMENTO;;CARROSSEL;0;'';P2;AUDIO_CONEXAO;;;;996375111517;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;996375113196;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;996375113412;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
