"DATA_ATIVACAO";"NUN_NTC";"TIPO_OPERACAO";"PLANO";"COD_MOBILE";"MES_REFERENCIA";"VALIDO_COMISSAO";"VALOR_COMISSAO";"COD_IRREG";"ARQUIVO";"DATA_ESTORNO";"PENDENCIA";"VALOR_FRANQUIA";"SIMCARD";"COD_QUINZENA";"STATUS_GED";"NTC_ANTERIOR";"PLANO_ANTERIOR";"NUM_CHAMADO";"CONTRATO_EBT_NET";"CLASSIFICACAO_PGTO";"FRANQUIA_ANTERIOR";"VALOR_DELTA";"VALOR_FATOR";"DAT_DIGITALIZACAO";"DSC_NOME_PLANO"
"2023-03-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366704355";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"570001041844";"PREMIUM";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID"
"2022-11-19 00:00:00";"0";"ESTORNO";"VIRTUA 250 MB";"CLRZ";"202303";"t";"-149,85";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301444476";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-03 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375128916";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-09 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"419,7";"0";"FT_COMISSIONAMENTO";"";"OK";"139.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380391150";"PREMIUM";"";"";"3";"";"BL 250M NETFLIX FID"
"2023-03-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"284,7";"0";"FT_COMISSIONAMENTO";"";"OK";"94.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"570001041607";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-09 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"203001328040";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-15 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375134312";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-14 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 350 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366712030";"PREMIUM";"";"";"3";"";"BL 350M COMBINADO BWF PON FID"
"2023-03-11 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"203001328393";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-11 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"284,7";"0";"FT_COMISSIONAMENTO";"";"OK";"94.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"449001011372";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-03 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"088624601810";"PREMIUM";"";"";"3";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX"
"2023-03-07 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202303";"t";"254,67";"0";"FT_COMISSIONAMENTO";"";"OK";"84.89";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375128720";"PREMIUM";"";"";"3";"";"BL 125M AQS BS FID"
"2023-03-15 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366714199";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-13 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202303";"t";"254,7";"0";"FT_COMISSIONAMENTO";"";"OK";"84.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"379001238506";"PREMIUM";"";"";"3";"";"BL 125M SINGLE OU C/ FONE BWF PON FID"
"2023-03-02 00:00:00";"0";"FONE FIXO";"FALE ILIMITADO BRASIL TOTAL";"CLRZ";"202303";"t";"90";"0";"FT_COMISSIONAMENTO";"";"OK";"30";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301450271";"PREMIUM";"";"";"3";"";"FONE ILIM BR TOTAL 30.00"
"2023-03-01 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375125950";"PREMIUM";"";"";"3";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX"
"2023-03-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375131143";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375129874";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 150 MB";"CLRZ";"202303";"t";"284,7";"0";"FT_COMISSIONAMENTO";"";"OK";"94.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341528012";"PREMIUM";"";"";"3";"";"BL 150M EMP PME C/CEL OU FONE CNPJ FID"
"2023-03-14 00:00:00";"0";"TROCA DE PLANO UR";"UPGRADE DE PLANO UR";"CLRZ";"202303";"t";"202";"0";"FT_COMISSIONAMENTO";"";"OK";"134.99";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996372018710";"PREMIUM";"63,9";"71";"3,5";"";"TOP HD 2P FID"
"2023-03-14 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366712030";"PREMIUM";"";"";"3";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX"
"2023-03-14 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366711971";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-14 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366711068";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-13 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341529230";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-01-31 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202303";"t";"94";"0";"PAGAR_1";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"021187030720";"PREMIUM";"";"";"3";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX"
"2023-01-27 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202303";"t";"94";"0";"PAGAR_1";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"021187013159";"PREMIUM";"";"";"3";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX"
"2023-03-09 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"419,7";"0";"FT_COMISSIONAMENTO";"";"OK";"139.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375131682";"PREMIUM";"";"";"3";"";"BL 250M NETFLIX FID"
"2023-03-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"203001327729";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
